id,code,uic,name_short,name_medium,name_long,slug,country,type,geo_lat,geo_lng
5,AC,8400047,Abcoude,Abcoude,Abcoude,abcoude,NL,stoptreinstation,52.2785,4.977
36,APN,8400053,Alphen,"Alphen a/d Rijn","Alphen a/d Rijn",alphen-a-d-rijn,NL,knooppuntIntercitystation,52.124443054199,4.6577777862549
23,AMF,8400055,"Amersfrt C","Amersfoort C.","Amersfoort Centraal",amersfoort-centraal,NL,knooppuntIntercitystation,52.153888702393,5.3705554008484
24,AMFS,8400054,Schothorst,Schothorst,"Amersfoort Schothorst",amersfoort-schothorst,NL,stoptreinstation,52.174822137451,5.4038887023926
54,AVAT,8400228,Vathorst,Vathorst,"Amersfoort Vathorst",amersfoort-vathorst,NL,stoptreinstation,52.192779541016,5.4338889122009
40,ASA,8400057,Amstel,Amstel,"Amsterdam Amstel",amsterdam-amstel,NL,intercitystation,52.346668243408,4.9177780151367
41,ASB,8400074,"Bijlmer A","Bijlmer ArenA","Amsterdam Bijlmer ArenA",amsterdam-bijlmer-arena,NL,knooppuntStoptreinstation,52.3122215271,4.9469442367554
43,ASD,8400058,"Amsterdm C","Amsterdam C.","Amsterdam Centraal",amsterdam-centraal,NL,megastation,52.378887176514,4.9002776145935
47,ASHD,8400231,Holendrcht,Holendrecht,"Amsterdam Holendrecht",amsterdam-holendrecht,NL,stoptreinstation,52.29844,4.95972
44,ASDL,8400079,Lelylaan,Lelylaan,"Amsterdam Lelylaan",amsterdam-lelylaan,NL,stoptreinstation,52.357776641846,4.8338890075684
45,ASDM,8400060,Muiderprt,Muiderpoort,"Amsterdam Muiderpoort",amsterdam-muiderpoort,NL,stoptreinstation,52.360553741455,4.9311113357544
393,RAI,8400056,RAI,RAI,"Amsterdam RAI",amsterdam-rai,NL,stoptreinstation,52.337223052979,4.8902778625488
48,ASSP,8400235,Scienceprk,"Science Park","Amsterdam Science Park",amsterdam-science-park,NL,stoptreinstation,52.35526,4.94651
50,ASS,8400059,Sloterdijk,Sloterdijk,"Amsterdam Sloterdijk",amsterdam-sloterdijk,NL,knooppuntIntercitystation,52.388889312744,4.8377776145935
46,ASDZ,8400061,"Amsterdm Z","Amsterdam Zuid","Amsterdam Zuid",amsterdam-zuid,NL,intercitystation,52.338889,4.872356
102,BRN,8400086,Baarn,Baarn,Baarn,baarn,NL,knooppuntStoptreinstation,52.208332061768,5.2808332443237
98,BRD,8400090,Barendrcht,Barendrecht,Barendrecht,barendrecht,NL,stoptreinstation,51.854721069336,4.5533332824707
87,BNC,8400091,"Barnevld C","Barneveld C.","Barneveld Centrum",barneveld-centrum,NL,stoptreinstation,52.139999389648,5.590277671814
89,BNN,8400092,"Barnevld N","Barneveld Noord","Barneveld Noord",barneveld-noord,NL,stoptreinstation,52.161388397217,5.5980553627014
764,BNZ,8400115,"Barnevld Z","Barneveld Zuid","Barneveld Zuid",barneveld-zuid,NL,stoptreinstation,52.128853,5.60246
77,BHV,8400114,Bilthoven,Bilthoven,Bilthoven,bilthoven,NL,stoptreinstation,52.130001068115,5.2038888931274
63,BDG,8400121,Bodegraven,Bodegraven,Bodegraven,bodegraven,NL,stoptreinstation,52.081390380859,4.7461109161377
107,BSK,8400125,Boskoop,Boskoop,Boskoop,boskoop,NL,stoptreinstation,52.077777862549,4.6469445228577
813,BSKS,8400126,Snijdelwk,Snijdelwijk,"Boskoop Snijdelwijk",boskoop-snijdelwijk,NL,stoptreinstation,52.067658,4.646186
81,BKL,8400133,Breukelen,Breukelen,Breukelen,breukelen,NL,knooppuntStoptreinstation,52.17149,4.9906
88,BNK,8400141,Bunnik,Bunnik,Bunnik,bunnik,NL,stoptreinstation,52.063056945801,5.1944446563721
108,BSMZ,8400145,"Bussum Z","Bussum Zuid","Bussum Zuid",bussum-zuid,NL,stoptreinstation,52.26583480835,5.1630554199219
119,CPS,8400147,Schollevr,Schollevaar,"Capelle Schollevaar",capelle-schollevaar,NL,stoptreinstation,51.954166412354,4.5841665267944
157,DVNK,8400188,"De Vink","De Vink","De Vink",de-vink,NL,stoptreinstation,52.147220611572,4.4563889503479
144,DT,8400170,Delft,Delft,Delft,delft,NL,knooppuntIntercitystation,52.00666809082,4.3563890457153
147,DTCP,8400166,"Delft Camp","Delft Campus","Delft Campus",delft-campus,NL,stoptreinstation,51.990833282471,4.3647222518921
132,DLD,8400179,"Den Dolder","Den Dolder","Den Dolder",den-dolder,NL,knooppuntStoptreinstation,52.140277862549,5.2427778244019
214,GVC,8400282,"Den Haag C","Den Haag C.","Den Haag Centraal",den-haag-centraal,NL,megastation,52.080276489258,4.3249998092651
213,GV,8400280,"Dn Haag HS","Den Haag HS","Den Haag HS",den-haag-hs,NL,knooppuntIntercitystation,52.069721221924,4.3225002288818
302,LAA,8400380,"Laan v NOI","Laan v NOI","Den Haag Laan v NOI",den-haag-laan-v-noi,NL,knooppuntStoptreinstation,52.078609466553,4.3427777290344
215,GVM,8400278,Mariahoeve,Mariahoeve,"Den Haag Mariahoeve",den-haag-mariahoeve,NL,stoptreinstation,52.090557098389,4.3694443702698
216,GVMW,8400279,Moerwijk,Moerwijk,"Den Haag Moerwijk",den-haag-moerwijk,NL,stoptreinstation,52.053890228271,4.3086109161377
525,YPB,8400379,Ypenburg,Ypenburg,"Den Haag Ypenburg",den-haag-ypenburg,NL,stoptreinstation,52.055278778076,4.39222240448
135,DMN,8400165,Diemen,Diemen,Diemen,diemen,NL,stoptreinstation,52.34515,4.967566
136,DMNZ,8400163,"Diemen Z","Diemen Zuid","Diemen Zuid",diemen-zuid,NL,stoptreinstation,52.330276489258,4.9558334350586
124,DDR,8400180,Dordrecht,Dordrecht,Dordrecht,dordrecht,NL,knooppuntIntercitystation,51.807220458984,4.668333530426
122,DB,8400182,Driebergen,Driebergen-Zeist,Driebergen-Zeist,driebergen-zeist,NL,knooppuntStoptreinstation,52.065277099609,5.25861120224
