name,type,latitude,longitude
Amusementspark Tivoli,themepark,51.8173353,5.9247742
Avonturenpark De Bergen,themepark,51.64029,5.81053
Avonturenpark Hellendoorn,themepark,52.3897401,6.4362695
BillyBird Hemelrijk,themepark,51.6345209,5.6773547
Bommelwereld,themepark,52.0416614,6.6277975
De Waarbeek,themepark,52.2442187,6.8088719
DippieDoe Attractiepark,themepark,51.49951,5.43392
Drievliet Family Park,themepark,52.05492,4.34962
Drouwenerzand Attractiepark,themepark,52.9568566,6.7878486
Duinrell,themepark,52.1475159,4.3803108
Efteling,themepark,51.6499584,5.0477212
Familiepretpark Mini Mundi,themepark,51.4803616,3.6323489
Julianatoren,themepark,52.226739,5.9156466
Kinderstad Heerlen,themepark,50.8936034,5.9612587
Mondo Verde,themepark,50.8855977,6.029474
Plopsa Indoor Coevorden,themepark,52.6788122,6.7738039
Slagharen Themepark & Resort,themepark,52.62444,6.56194
SnowWorld,themepark,50.874815,6.0217946
Speelpark Hoge Boekel,themepark,52.2352549,6.9551953
Speelpark Oud Valkeveen,themepark,52.3047038,5.1923055
Speelstad Oranje,themepark,52.906,6.452
Sybrandy's Speel- en Natuurpark,themepark,52.83444,5.54444
Toverland,themepark,51.396,5.986
Verkeers- en Attractiepark Duinen Zathe,themepark,52.95662,6.33564
Walibi Holland,themepark,52.44,5.7625
Wildlands Adventure Zoo Emmen,themepark,52.78194,6.88889
